main_category|sub_category|course_name|course_desc|instructor_name|instructor_job|base_price|final_price|rating|rating_count
business|Business|Lean Startup: Mulai Bisnis Tanpa Takut Gagal|"<div><u><strong>Detail Kelas</strong></u><br>
Membangun bisnis di era digital seperti sekarang ini merupakan peluang yang menjanjikan. Tetapi, bagaimana cara menciptakan produk yang sesuai dengan apa yang diinginkan konsumen? <br>
Di kelas ini, kamu akan mempelajari lean startup, sebuah metode membangun usaha sesuai dengan kebutuhan pasar. Kamu akan mempelajari mulai dari cara berinteraksi dengan konsumen, membangun kerangka bisnis dengan kanban board untuk hasil yang lebih optimal, dan memahami strategi yang tepat untuk meluncurkan produkmu. Dengan menggunakan metode <em>lean startup</em>, bisnismu bisa berjalan lebih efektif dan efisien. <br>
</div>
<div><u><strong>Target Peserta</strong></u><br>
Kelas ini cocok untuk kamu yang ingin membangun bisnis dari awal, sedang merintis bisnis di tahap awal, atau sedang ingin mengembangkan produk baru dalam bisnisnya dengan lebih efektif<br>
</div>
<div><u><strong>Tujuan Umum</strong></u><br>
Kamu akan dapat menjelaskan dan menerapkan metode <em>lean startup</em> pada bisnismu sehingga dapat mengurangi resiko gagal dan berkembang lebih baik. &nbsp;</div>
<div><br></div>"|Rizky Arief|Entrepreneur & Consultant|890000|149000|5.0|1272687
business|Business|Belajar Reksa Dana - Untung Besar dengan Modal Kecil|"<div>Pada kelas ini, kamu akan memperdalam pengetahuan kamu tentang bagaimana memilih reksa dana dan memaksimalkan keuntungan dari reksadana.&nbsp;</div>
<div><br></div>
<div>Jadi, tunggu apa lagi? Ikuti kelasnya sekarang!</div>"|Liyanto Sudarso|"Certified Securities Analyst, Penulis Buku “Taktis Berinvestasi Reksa Dana"""|890000|168000|4.8|743
business|Business|Memulai Investasi Saham Pertama Kamu|"<div>Saham menjadi hal yang sering diperbincangkan sejak dulu. Banyak orang yang tertarik untuk berinvestasi di saham. Apakah kamu salah satunya? Apakah kamu bingung mau memulai dari mana?<br>
</div>
<div>Rivan Kurniawan akan membantu kamu dalam kelas ini! Dimulai dari memberikan pengetahuan dasar mengenai pasar saham, <em>mindset </em>yang harus kamu miliki, keuntungan dan kerugian di pasar saham, sampai mencoba menganalisis. Di akhir kelas, kamu diharapkan mampu menentukan perusahaan mana yang cocok untuk kamu berinvestasi saham.<br>
</div>
<div>Jadi, tunggu apalagi? Ikuti kelasnya sekarang!&nbsp;</div>"|Rivan Kurniawan|Indonesia Value Investor|890000|168000|4.9|5654
business|Business|Sukses Mengelola Keuangan UMKM|"<div><u><strong>Detail Kelas</strong></u><br>
Pelaku UMKM perlu memiliki pengelolaan keuangan yang baik sehingga bisnis yang dikelola tidak mengalami kerugian. Pembukuan menjadi cara untuk mencatat seluruh transaksi yang dilakukan untuk mengetahui besaran pemasaukan dan pengeluaran. <br>
Kelas ini akan membahas tuntas tentang pembukuan, mulai dari pengenalannya, mengetahui konsep dasar akuntansi, dan juga pembukuan berbasis akrual. <br>
</div>
<div><u><strong>Target Peserta</strong></u><br>
Kelas ini cocok untuk kamu yang ingin mempelajari dasar akuntansi untuk UMKM, pemilik bisnis UMKM, pebisnis pemula yang ingin mempelajari lebih lanjut tentang akuntansi, ataupun pebisnis pemula yang memerlukan dasar dalam akuntansi pembukuan.<br>
</div>
<div><u><strong>Tujuan Umum</strong></u><br>
Kamu akan dapat memahami dan menjelaskan tahapan pembukuan untuk mengelola keuangan UMKM dengan tepat.&nbsp;</div>"|Bernad Hasiholan|Head of Finance|300000|150000|5.0|170576
business|Business|Sukses Bisnis Online Shop di Instagram|"<div><u><strong>Detail Kelas&nbsp;</strong></u></div>
<div>Instagram sekarang menjadi salah satu media sosial yang semakin populer. Pengguna Instagram di Indonesia pun menempati posisi terbesar keempat di dunia. Hal ini bisa jadi peluang emas untukmu mencoba merintis bisnis <em>online </em>di Instagram. &nbsp;Di kelas ini kamu akan belajar apapun yang kamu butuhkan untuk menyukseskan bisnis <em>online</em>-mu di Instagram. Kamu akan belajar mulai dari dasar, seperti mengasah <em>mindset </em>untuk kesuksesan bisnis, menemukan produk yang tepat untuk dijual, memahami istilah-istilah bisnis, seperti <em>dropshipper</em>, produsen, dan <em>reseller</em>, menentukan cara yang tepat untuk mempromosikan bisnismu, hingga strategi membuat berbagai macam konten menarik untuk memaksimalkan bisnismu. Kamu juga akan mendapatkan tips dan trik meningkatkan bisnis <em>online </em>kamu agar semakin berkembang dan selalu eksis.</div>
<div><br></div>
<div><u><strong>Target Peserta&nbsp;</strong></u></div>
<div>Kelas ini cocok untuk kamu yang ingin membuka usaha, sedang merintis usaha, memulai bisnis dropship, atau ingin mengembangkan usaha <em>online shop </em>menggunakan Instagram.&nbsp;</div>
<div><br></div>
<div><u><strong>Tujuan Umum&nbsp;</strong></u></div>
<div>Kamu akan dapat menerapkan cara-cara membangun <em>online shop</em>-mu sendiri di Instagram dengan efektif.</div>"|Michael Sugiharto|Online Business Expert, Founder & Director Digimaru|990000|149000|5.0|1288534
business|Business|Tips Hemat Kelola Pemasukan dengan Konsep Syariah|"<div><u><strong>Detail Kelas</strong></u><br>
</div>
<div>Berdasarkan hasil survei HSBC Future of Retirement 2018, hanya 1 dari 10 orang di Indonesia yang telah menyiapkan dana pensiun. Hal ini menjadi isu <br>
Di kelas ini kamu akan mempelajari teknik merencanakan keuangan yang sesuai dengan ajaran Islam. Kamu akan mengetahui mulai dari kesalahan keuangan apa saja yang biasa dihadapi, pengetahuan umum tentang literasi keuangan di Indonesia, konsep harta dalam perspektif islam, dan islamic cash flow management. Kamu juga akan memahami berbagai produk investasi syariah untuk menentukan produk investasi yang cocok dan sesuai untukmu. <br>
Tujuan: Kamu akan dapat menjelaskan perencanaan keuangan dengan konsep syariah. <br>
Kelas ini cocok untuk anak muda yang baru awal bekerja, pasangan muda yang baru menikah, keluarga muda yang ingin mengatur keuangannya, dan umum yang ingin mengetahui perencanaan keuangan dalam lingkup syariah.<br>
&nbsp;</div>
<div><u><strong>Target Peserta</strong></u><br>
Kelas ini cocok untuk anak muda yang baru awal bekerja, pasangan muda, pegawai kantoran, ataupun ibu rumah tangga yang memiliki ketertarikan pada perencanaan keuangan dengan konsep syariah. <br>
</div>
<div><u><strong>Tujuan Umum</strong></u><br>
Kamu akan dapat menjelaskan perencanaan keuangan dengan konsep syariah. &nbsp;</div>"|Mohammad Teguh|Islamic Finance Specialist|890000|215000|5.0|119910
business|Business|Tenang di Masa Kritis, Siapkan Dana Darurat dari Sekarang|"<div><u><strong>Detail Kelas</strong></u><br>
Mengelola keuangan membutuhkan strategi yang matang agar kita tidak mengalami kendala keuangan di hari tua nanti. Di kelas ini kamu dipandu oleh Melvin Mumpuni, seorang Certified Financial Planner, yang akan memberimu cara mengatur keuangan pada saat usia produktif dan cara mempersiapkan dana pensiun untuk usia tua nanti. Kamu juga akan memahami berbagai jenis investasi dan dapat mengetahui jenis investasi yang tepat untukmu. &nbsp;<br>
</div>
<div><u><strong>Target Peserta</strong></u><br>
Kelas ini cocok untuk milenial yang ingin mempersiapkan dana pensiun, menyiapkan investasi, dan ingin mencapai situasi <em>financial freedom </em>saat pensiun.<br>
</div>
<div><u><strong>Tujuan Umum</strong></u><br>
Kamu akan dapat menjelaskan strategi pengelolaan keuangan di usia tua nanti. &nbsp;</div>"|Melvin Mumpuni|FInancial Planner and CEO Finansialku.com|990000|259000|4.9|118638
business|Business|Reksa Dana Advance: Kuasai Strategi Reksa Dana agar Untung Maksimal|"<div>Ikuti kelas Kuasai Strategi Reksa Dana Agar Imbal Hasil Maksimal.</div>
<div><br></div>
<div>Dalam kelas ini, Anda akan mempelajari indikator ekonomi yang berpengaruh terhadap kinerja reksadana, isi <em>underlying asset </em>reksa dana lebih dalam yaitu obligasi dan saham, serta strategi memaksimalkan imbal hasil pada masing-masing jenis reksa dana.</div>"|Liyanto Sudarso|Certified Securities Analist, Penulis Buku “Taktis Berinvestasi Reksa Dana”|990000|272000|4.5|233
business|Business|Cara Asik Menghasilkan Uang dari HP dengan WhatsApp|"<div><u><strong>Detail Kelas</strong></u><br>
Whatsapp merupakan aplikasi messenger populer dan paling banyak digunakan dalam masyarakat. Hal ini menjadikan Whatsapp bagus oke keren unggul <br>
Course Cara Asik Menghasilkan Uang dari HP dengan WhatsApp merupakan kelas yang memberikan cara-cara meningkatkan penghasilan bisnis kecil melalui penggunaan &nbsp;&nbsp;WhatsApp. Sebagai aplikasi messenger &nbsp;yang paling banyak digunakan di dunia, tentunya WhatsApp dapat memberikan keuntungan besar untuk mempromosikan segala bisnis apabila bisa dilakukan dengan baik. <br>
</div>
<div><u><strong>Target Peserta</strong></u><br>
Kelas ini cocok untuk pemilik bisnis rumahan, manajer bisnis, dan pebisnis pemula yang ingin mempelajari lebih lanjut tentang digital marketing yang ingin memperluas pasarnya. &nbsp;<br>
</div>
<div><u><strong>Tujuan Umum</strong></u><br>
Di akhir pelatihan, kamu akan dapat menjelaskan cara menjalani bisnis menggunakan WhatsApp.&nbsp;</div>"|Karlina Kurniawati|Entrepreneur dan Founder Avocadron |500000|150000|5.0|672843
business|Business|Atur Harga Produk, Jual dengan Harga Bersaing|"<div><u><strong>Detail Kelas</strong></u></div>
<div>Menetapkan harga dapat menjadi hal yang menantang bagi seorang pengusaha. Kadangkala, harga yang terlalu tinggi dapat menjadikan produk tidak laku di pasaran, sedangkan harga yang terlalu rendah tidak akan menghasilkan keuntungan. Lantas, bagaimana menentukan harga yang akan diterima konsumen dan dapat memaksimalkan pendapatan?</div>
<div>Menentukan harga tidak melulu tentang keuntungan. Terdapat banyak faktor yang dapat mempengaruhi penetapan harga seperti <em>cost, value</em>, target pasar, dan banyak lagi. Dalam kelas “Atur Harga Produk, Jual dengan Harga Bersaing” ini, kamu dapat mengetahui lebih lanjut mengenai faktor-faktor apa saja yang mempengaruhi penetapan harga suatu produk. Bersama Michelle Tarunadjaja, kelas ini akan membahas mulai dari cara menghitung modal dengan tepat, menentukan keuntungan yang layak, serta hal praktis apa yang bisa dilakukan untuk menghadapi persaingan harga.</div>
<div><br></div>
<div><u><strong>Target Peserta</strong></u></div>
<div>Kelas ini sangat cocok bagi kalian yang tertarik untuk mendirikan sebuah usaha atau pelaku bisnis yang masih pemula.&nbsp;</div>
<div><br></div>
<div><u><strong>Tujuan Umum</strong></u></div>
<div>Dengan mempelajari kelas ini, kamu pun akan mengetahui komponen apa saja yang perlu kamu perhitungkan ke dalam harga produk, sehingga kamu dapat menyesuaikan harga produk mu dan tidak lagi ragu dalam menetapkan harga.</div>"|Michelle Tarunadjaja|Business Development Lead of GrabKitchen & Co-Founder of Sistergreens Juicery|890000|229000|5.0|10928
